"","newdata.code1","newdata.code2","fit_value","fit_exp"
"1","ABW","TJK",-14.184983240906,6.91098662683464e-07
"2","ABW","SEN",-9.55815805098128,7.06227624600408e-05
"3","ABW","GTM",-8.08957063377146,0.000306721424685649
"4","ABW","USA",-5.27456757605599,0.00512017031387124
"5","ABW","SVN",-11.8455161999676,7.17063603147988e-06
"6","ABW","AGO",-9.13929609048739,0.000107362876669596
"7","ABW","GEO",-11.8188635466362,7.36432216700398e-06
"8","ABW","POL",-9.04420890986342,0.000118072831255945
"9","ABW","GNB",-11.6413826063336,8.7945125369244e-06
"10","ABW","SAU",-9.66504495467699,6.34635422540699e-05
"11","ABW","ITA",-8.53991200174981,0.000195507463704728
"12","ABW","LBN",-11.4023171757851,1.1169572968988e-05
"13","ABW","LSO",-15.3574568571299,2.13964257451278e-07
"14","ABW","BFA",-12.5236622333233,3.63950733383587e-06
"15","ABW","PAN",-8.59175611601565,0.000185629813762619
"16","ABW","TTO",-9.16255374969119,0.000104894680957008
"17","ABW","GRC",-10.4525281952945,2.88751788473327e-05
"18","ABW","CAF",-14.1519068248961,7.14339980410796e-07
"19","ABW","LUX",-15.4340081221377,1.98196252650738e-07
"20","ABW","ROU",-9.84067513269208,5.3241354003336e-05
"21","ABW","COD",-8.47491719085693,0.000208636471587156
"22","ABW","NIC",-8.76661254268838,0.00015585062481365
"23","ABW","SLE",-10.4841128351733,2.79774190634742e-05
"24","ABW","ISR",-10.6978714410885,2.25929772508581e-05
"25","ABW","AUT",-13.1329058876572,1.97902573446315e-06
"26","ABW","MEX",-6.43941957052266,0.00159733355107295
"27","ABW","VNM",-8.62962254305524,0.000178732096105317
"28","ABW","ETH",-11.0652855643587,1.56461517722978e-05
"29","ABW","PHL",-8.9966166316859,0.000123828052051953
"30","ABW","HRV",-11.410733816484,1.10759572043185e-05
"31","ABW","TUN",-10.5244572624184,2.68711520200156e-05
"32","ABW","MDA",-14.4306659768232,5.40556876047538e-07
"33","ABW","MLI",-12.2215141694837,4.92338542545598e-06
"34","ABW","FRA",-8.2676643391324,0.000256684118707376
"35","ABW","LVA",-12.4273722594045,4.00738255415193e-06
